[ 0.0148354  0.9851646]
[ 0.21214514  0.78785486]
[ 0.5062567  0.4937433]
[ 0.32867588  0.67132412]
[ 0.22365389  0.77634611]
[ 0.23052062  0.76947938]
[ 0.10542066  0.89457934]
[ 0.07646913  0.92353087]
[ 0.00422062  0.99577938]
[ 0.13350175  0.86649825]
[ 0.13206868  0.86793132]
[ 0.11604418  0.88395582]
[ 0.11409558  0.88590442]
[ 0.46694171  0.53305829]
[ 0.0932965  0.9067035]
[ 0.65848856  0.34151144]
[ 0.31632409  0.68367591]
[ 0.4119255  0.5880745]
[ 0.01017989  0.98982011]
[ 0.13884662  0.86115338]
[ 0.29763624  0.70236376]
[ 0.16276658  0.83723342]
[ 0.29458973  0.70541027]
[ 0.03911462  0.96088538]
[ 0.21214514  0.78785486]
[ 0.62011809  0.37988191]
[ 0.3679558  0.6320442]
[ 0.99704228  0.00295772]
[ 0.28785941  0.71214059]
[ 0.55221534  0.44778466]
[ 0.13854168  0.86145832]
[ 0.28027811  0.71972189]
[ 0.46137486  0.53862514]
[ 0.00249141  0.99750859]
[ 0.10979092  0.89020908]
[ 0.56849265  0.43150735]
[ 0.17919987  0.82080013]
[ 0.1902613  0.8097387]
[ 0.42493323  0.57506677]
[ 0.78269722  0.21730278]
[ 0.21214514  0.78785486]
[ 0.29458973  0.70541027]
[ 0.1667872  0.8332128]
[ 0.77874725  0.22125275]
[ 0.25184608  0.74815392]
[ 0.77283868  0.22716132]
[ 0.23205236  0.76794764]
[ 0.28752224  0.71247776]
[ 0.00941654  0.99058346]
[ 0.26493164  0.73506836]
[ 0.15187128  0.84812872]
[ 0.04035659  0.95964341]
[ 0.75576754  0.24423246]
[ 0.31234743  0.68765257]
[ 0.27795407  0.72204593]
[ 0.16776705  0.83223295]
[ 0.21327962  0.78672038]
[ 0.37882225  0.62117775]
[ 0.21214514  0.78785486]
[ 0.47107701  0.52892299]
[ 0.26440698  0.73559302]
[ 0.04295951  0.95704049]
[ 0.17352017  0.82647983]
[ 0.07333209  0.92666791]
[ 0.12729982  0.87270018]
[ 0.12977046  0.87022954]
[ 0.11410303  0.88589697]
[ 0.08379231  0.91620769]
[ 0.02641813  0.97358187]
[ 0.63595865  0.36404135]
[ 0.06255629  0.93744371]
[ 0.45313586  0.54686414]
[ 0.06007664  0.93992336]
[ 0.16925423  0.83074577]
[ 0.06096023  0.93903977]
[ 0.32894403  0.67105597]
[ 0.07610711  0.92389289]
[ 0.29841799  0.70158201]
[ 0.00571638  0.99428362]
[ 0.02558285  0.97441715]
[ 0.28523664  0.71476336]
[ 0.15056931  0.84943069]
[ 0.21214514  0.78785486]
[ 0.02198969  0.97801031]
[ 0.09469433  0.90530567]
[ 0.38128259  0.61871741]
[ 0.47162586  0.52837414]
[ 0.36910976  0.63089024]
[ 0.03469919  0.96530081]
[ 0.22801438  0.77198562]
[ 0.21327962  0.78672038]
[ 0.00249141  0.99750859]
[ 0.1430013  0.8569987]
[ 0.13830483  0.86169517]
[ 0.03026241  0.96973759]
[ 0.38407261  0.61592739]
[ 0.31967621  0.68032379]
[ 0.59269134  0.40730866]
[ 0.08159974  0.91840026]
[ 0.13845076  0.86154924]
[ 0.23993183  0.76006817]
[ 0.08195373  0.91804627]
[ 0.51086627  0.48913373]
[ 0.12369557  0.87630443]
[ 0.36092262  0.63907738]
[ 0.49966878  0.50033122]
[ 0.16558052  0.83441948]
[ 0.2079696  0.7920304]
[ 0.44447057  0.55552943]
[ 0.08767725  0.91232275]
[ 0.14128322  0.85871678]
[ 0.12992067  0.87007933]
[ 0.32096077  0.67903923]
[ 0.0628016  0.9371984]
[ 0.65981863  0.34018137]
[ 0.56886383  0.43113617]
[ 0.60390031  0.39609969]
[ 0.30577738  0.69422262]
[ 0.69307259  0.30692741]
[ 0.40627574  0.59372426]
[ 0.25079977  0.74920023]
[ 0.11960743  0.88039257]
[ 0.3142405  0.6857595]
[ 0.06012004  0.93987996]
[ 0.26847414  0.73152586]
[ 0.04307619  0.95692381]
[ 0.11036125  0.88963875]
[ 0.05305469  0.94694531]
[ 0.21214514  0.78785486]
[ 0.38087288  0.61912712]
[ 0.24908941  0.75091059]
[ 0.99704228  0.00295772]
[ 0.08540609  0.91459391]
[ 0.6449884  0.3550116]
[ 0.27046583  0.72953417]
[ 0.00249141  0.99750859]
[ 0.12522945  0.87477055]
[ 0.28523134  0.71476866]
[ 0.23763838  0.76236162]
[ 0.15552639  0.84447361]
[ 0.38618588  0.61381412]
[ 0.65414378  0.34585622]
[ 0.02432792  0.97567208]
[ 0.02323297  0.97676703]
[ 0.20994832  0.79005168]
[ 0.04890369  0.95109631]
[ 0.02323297  0.97676703]
[ 0.32629676  0.67370324]
[ 0.04089787  0.95910213]
[ 0.06129951  0.93870049]
[ 0.22489907  0.77510093]
[ 0.73786011  0.26213989]
[ 0.45530511  0.54469489]
[ 0.61294479  0.38705521]
[ 0.13753059  0.86246941]
[ 0.17619414  0.82380586]
[ 0.14211289  0.85788711]
[ 0.14588057  0.85411943]
[ 0.08993302  0.91006698]
[ 0.02316124  0.97683876]
[ 0.08258389  0.91741611]
[ 0.06400655  0.93599345]
[ 0.21706413  0.78293587]
[ 0.26699018  0.73300982]
[ 0.07892716  0.92107284]
[ 0.03552793  0.96447207]
[ 0.11637612  0.88362388]
[ 0.02442736  0.97557264]
[ 0.05525687  0.94474313]
[ 0.4359884  0.5640116]
[ 0.29019533  0.70980467]
[ 0.40644091  0.59355909]
[ 0.07737547  0.92262453]
[ 0.07876153  0.92123847]
[ 0.11122572  0.88877428]
[ 0.47318812  0.52681188]
[ 0.36436645  0.63563355]
[ 0.01725446  0.98274554]
[ 0.32830191  0.67169809]
[ 0.67375588  0.32624412]
[ 0.31234743  0.68765257]
[ 0.1306985  0.8693015]
[ 0.18032538  0.81967462]
[ 0.04731617  0.95268383]
[ 0.03558855  0.96441145]
[ 0.45124698  0.54875302]
[ 0.36708841  0.63291159]
[ 0.37848984  0.62151016]
[ 0.44530803  0.55469197]
[ 0.38517538  0.61482462]
[ 0.25104671  0.74895329]
[ 0.0551515  0.9448485]
[ 0.31234743  0.68765257]
[ 0.14532244  0.85467756]
[ 0.16518201  0.83481799]
[ 0.33198984  0.66801016]
[ 0.5495786  0.4504214]
[ 0.38197079  0.61802921]
[ 0.14344417  0.85655583]
[ 0.0570411  0.9429589]
[ 0.23096572  0.76903428]
[ 0.04706902  0.95293098]
[ 0.12396886  0.87603114]
[ 0.12721157  0.87278843]
[ 0.32716897  0.67283103]
[ 0.19775102  0.80224898]
[ 0.15552639  0.84447361]
[ 0.21214514  0.78785486]
[ 0.59168457  0.40831543]
[ 0.02323297  0.97676703]
[ 0.26681468  0.73318532]
[ 0.1696898  0.8303102]
[ 0.19916131  0.80083869]
[ 0.07186914  0.92813086]
[ 0.56260062  0.43739938]
[ 0.25594861  0.74405139]
[ 0.27268095  0.72731905]
[ 0.26131995  0.73868005]
[ 0.35956808  0.64043192]
[ 0.15569902  0.84430098]
[ 0.03770184  0.96229816]
[ 0.38196062  0.61803938]
[ 0.01427912  0.98572088]
[ 0.40769597  0.59230403]
[ 0.04845803  0.95154197]
[ 0.23763838  0.76236162]
[ 0.23205236  0.76794764]
[ 0.35273512  0.64726488]
[ 0.48571163  0.51428837]
[ 0.22326121  0.77673879]
[ 0.20934651  0.79065349]
[ 0.78505249  0.21494751]
[ 0.4718368  0.5281632]
[ 0.26219052  0.73780948]
[ 0.34154978  0.65845022]
[ 0.27712971  0.72287029]
[ 0.08327359  0.91672641]
[ 0.11205454  0.88794546]
[ 0.19012511  0.80987489]
[ 0.03503773  0.96496227]
[ 0.23763838  0.76236162]
[ 0.15043765  0.84956235]
[ 0.09507548  0.90492452]
[ 0.35120184  0.64879816]
[ 0.24116421  0.75883579]
[ 0.26145611  0.73854389]
[ 0.43465934  0.56534066]
[ 0.21214514  0.78785486]
[ 0.04996331  0.95003669]
[ 0.12734643  0.87265357]
[ 0.28667618  0.71332382]
[ 0.77781217  0.22218783]
[ 0.22918873  0.77081127]
[ 0.51150401  0.48849599]
[ 0.46062819  0.53937181]
[ 0.19581641  0.80418359]
[ 0.08458291  0.91541709]
[ 0.2750758  0.7249242]
[ 0.3366855  0.6633145]
[ 0.43488812  0.56511188]
[ 0.13498862  0.86501138]
[ 0.29458973  0.70541027]
[ 0.32489785  0.67510215]
[ 0.16700899  0.83299101]
[ 0.17819896  0.82180104]
[ 0.26608625  0.73391375]
[ 0.20751952  0.79248048]
[ 0.03389472  0.96610528]
[ 0.07905022  0.92094978]
[ 0.21214514  0.78785486]
[ 0.01673742  0.98326258]
[ 0.20409179  0.79590821]
[ 0.35709533  0.64290467]
[ 0.24692331  0.75307669]
[ 0.01988476  0.98011524]
[ 0.19693441  0.80306559]
[ 0.14235977  0.85764023]
[ 0.31393405  0.68606595]
[ 0.24558669  0.75441331]
[ 0.17920277  0.82079723]
[ 0.16714318  0.83285682]
[ 0.0749402  0.9250598]
[ 0.24272266  0.75727734]
[ 0.23498953  0.76501047]
[ 0.20699517  0.79300483]
[ 0.78592284  0.21407716]
[ 0.02529347  0.97470653]
[ 0.41027307  0.58972693]
[ 0.37914237  0.62085763]
[ 0.27586091  0.72413909]
[ 0.10516391  0.89483609]
[ 0.62789073  0.37210927]
[ 0.14097798  0.85902202]
[ 0.13635831  0.86364169]
[ 0.27115865  0.72884135]
[ 0.27619749  0.72380251]
[ 0.0450325  0.9549675]
[ 0.17706819  0.82293181]
[ 0.5495786  0.4504214]
[ 0.12831114  0.87168886]
[ 0.32538043  0.67461957]
[ 0.21133442  0.78866558]
[ 0.17651004  0.82348996]
[ 0.13672646  0.86327354]
[ 0.26489128  0.73510872]
[ 0.23763838  0.76236162]
[ 0.22855074  0.77144926]
[ 0.3312486  0.6687514]
[ 0.25347393  0.74652607]
[ 0.21648321  0.78351679]
[ 0.01505858  0.98494142]
[ 0.06890218  0.93109782]
[ 0.38948388  0.61051612]
[ 0.70685453  0.29314547]
[ 0.57660231  0.42339769]
[ 0.13651885  0.86348115]
[ 0.323416  0.676584]
[ 0.26628202  0.73371798]
[ 0.51491326  0.48508674]
[ 0.53062001  0.46937999]
[ 0.75387503  0.24612497]
[ 0.048436  0.951564]
[ 0.53696577  0.46303423]
[ 0.86193737  0.13806263]
[ 0.29458973  0.70541027]
[ 0.21214514  0.78785486]
[ 0.8605155  0.1394845]
[ 0.35179657  0.64820343]
[ 0.39313895  0.60686105]
[ 0.11674147  0.88325853]
[ 0.29997844  0.70002156]
[ 0.06578925  0.93421075]
[ 0.35066398  0.64933602]
[ 0.05890767  0.94109233]
[ 0.01702575  0.98297425]
[ 0.11822343  0.88177657]
[ 0.3418746  0.6581254]
[ 0.26462498  0.73537502]
[ 0.49992643  0.50007357]
[ 0.10960277  0.89039723]
[ 0.01529069  0.98470931]
[ 0.24407676  0.75592324]
[ 0.28719619  0.71280381]
[ 0.03958506  0.96041494]
[ 0.29458973  0.70541027]
[ 0.16913343  0.83086657]
[ 0.06890218  0.93109782]
[ 0.27297798  0.72702202]
[ 0.28115426  0.71884574]
[ 0.19012511  0.80987489]
[ 0.08719798  0.91280202]
[ 0.04560112  0.95439888]
[ 0.23797505  0.76202495]
[ 0.29488803  0.70511197]
[ 0.38212163  0.61787837]
[ 0.99704228  0.00295772]
[ 0.32489785  0.67510215]
[ 0.32762761  0.67237239]
[ 0.02207958  0.97792042]
[ 0.32257604  0.67742396]
[ 0.06774946  0.93225054]
[ 0.01103231  0.98896769]
[ 0.03123745  0.96876255]
[ 0.0020156  0.9979844]
[ 0.5495786  0.4504214]
[ 0.31234743  0.68765257]
[ 0.2944616  0.7055384]
[ 0.05451343  0.94548657]
[ 0.19282157  0.80717843]
[ 0.0341717  0.9658283]
[ 0.14572308  0.85427692]
[ 0.31160741  0.68839259]
[ 0.43280646  0.56719354]
[ 0.50139527  0.49860473]
[ 0.8794009  0.1205991]
[ 0.21214514  0.78785486]
[ 0.23651444  0.76348556]
[ 0.19693398  0.80306602]
[ 0.07174723  0.92825277]
[ 0.01431371  0.98568629]
[ 0.34461331  0.65538669]
[ 0.36705964  0.63294036]
[ 0.22435795  0.77564205]
[ 0.04591391  0.95408609]
[ 0.06699  0.93301]
[ 0.11316485  0.88683515]
[ 0.38060706  0.61939294]
[ 0.09735803  0.90264197]
[ 0.0027713  0.9972287]
[ 0.02536732  0.97463268]
[ 0.37432587  0.62567413]
[ 0.2201474  0.7798526]
[ 0.00281971  0.99718029]
[ 0.3326873  0.6673127]
[ 0.49552923  0.50447077]
[ 0.53696577  0.46303423]
[ 0.49182772  0.50817228]
[ 0.46110917  0.53889083]
[ 0.26592164  0.73407836]
[ 0.31234743  0.68765257]
[ 0.58775134  0.41224866]
[ 0.26738908  0.73261092]
[ 0.26522056  0.73477944]
[ 0.29006665  0.70993335]
[ 0.2245754  0.7754246]
[ 0.09886193  0.90113807]
[ 0.09358104  0.90641896]
[ 0.25784438  0.74215562]
[ 0.27747354  0.72252646]
[ 0.2436128  0.7563872]
[ 0.16499456  0.83500544]
[ 0.26389555  0.73610445]
[ 0.42010481  0.57989519]
[ 0.02402325  0.97597675]
[ 0.22855074  0.77144926]
[ 0.29458973  0.70541027]
[ 0.14304517  0.85695483]
[ 0.74428255  0.25571745]
[ 0.17616433  0.82383567]
[ 0.0589327  0.9410673]
[ 0.0450324  0.9549676]
[ 0.12520376  0.87479624]
[ 0.03682148  0.96317852]
[ 0.15685731  0.84314269]
[ 0.06604702  0.93395298]
[ 0.76381545  0.23618455]
[ 0.57283485  0.42716515]
[ 0.02313838  0.97686162]
[ 0.21214514  0.78785486]
[ 0.36325295  0.63674705]
[ 0.1563328  0.8436672]
[ 0.10698754  0.89301246]
[ 0.04713908  0.95286092]
[ 0.66405636  0.33594364]
[ 0.28835787  0.71164213]
[ 0.17947538  0.82052462]
[ 0.15381057  0.84618943]
[ 0.40845951  0.59154049]
[ 0.13653613  0.86346387]
[ 0.0961015  0.9038985]
[ 0.29458973  0.70541027]
[ 0.02681973  0.97318027]
[ 0.01431371  0.98568629]
[ 0.08174437  0.91825563]
[ 0.04786091  0.95213909]
[ 0.04833077  0.95166923]
[ 0.42199945  0.57800055]
[ 0.34091692  0.65908308]
[ 0.28409744  0.71590256]
[ 0.3100827  0.6899173]
[ 0.44486394  0.55513606]
[ 0.26620856  0.73379144]
[ 0.32537058  0.67462942]
[ 0.31234743  0.68765257]
[ 0.50440394  0.49559606]
[ 0.34239902  0.65760098]
[ 0.31426891  0.68573109]
[ 0.22801438  0.77198562]
[ 0.35413559  0.64586441]
[ 0.7973666  0.2026334]
[ 0.38769944  0.61230056]
[ 0.30063412  0.69936588]
[ 0.01012951  0.98987049]
[ 0.01826048  0.98173952]
[ 0.08173212  0.91826788]
[ 0.22895953  0.77104047]
[ 0.09729024  0.90270976]
[ 0.06374165  0.93625835]
[ 0.03145557  0.96854443]
[ 0.04217949  0.95782051]
[ 0.119238  0.880762]
[ 0.09695906  0.90304094]
[ 0.42516914  0.57483086]
[ 0.08484391  0.91515609]
[ 0.02490989  0.97509011]
[ 0.09839687  0.90160313]
[ 0.890807  0.109193]
[ 0.24671122  0.75328878]
[ 0.27115865  0.72884135]
[ 0.05535971  0.94464029]
[ 0.17309373  0.82690627]
[ 0.0964287  0.9035713]
[ 0.02964001  0.97035999]
[ 0.27641428  0.72358572]
[ 0.26440698  0.73559302]
[ 0.63792224  0.36207776]
[ 0.39177281  0.60822719]
[ 0.27032681  0.72967319]
[ 0.33648876  0.66351124]
[ 0.03870426  0.96129574]
[ 0.18692477  0.81307523]
[ 0.280937  0.719063]
[ 0.22855074  0.77144926]
[ 0.29727214  0.70272786]
[ 0.4589025  0.5410975]
[ 0.15082252  0.84917748]
[ 0.26919387  0.73080613]
[ 0.34925822  0.65074178]
[ 0.13656856  0.86343144]
[ 0.37951819  0.62048181]
[ 0.29458973  0.70541027]
[ 0.57169213  0.42830787]
[ 0.36058717  0.63941283]
[ 0.11517148  0.88482852]
[ 0.37046771  0.62953229]
[ 0.19479494  0.80520506]
[ 0.25583325  0.74416675]
[ 0.04810835  0.95189165]
[ 0.00422062  0.99577938]
[ 0.15935059  0.84064941]
[ 0.31620959  0.68379041]
[ 0.17882881  0.82117119]
[ 0.32359189  0.67640811]
[ 0.24511361  0.75488639]
[ 0.38769944  0.61230056]
[ 0.79904932  0.20095068]
[ 0.11290228  0.88709772]
[ 0.22386886  0.77613114]
[ 0.33053534  0.66946466]
[ 0.10930309  0.89069691]
[ 0.30325647  0.69674353]
[ 0.29358334  0.70641666]
[ 0.51200715  0.48799285]
[ 0.44214098  0.55785902]
[ 0.36972255  0.63027745]
[ 0.39916987  0.60083013]
[ 0.03013548  0.96986452]
[ 0.08600733  0.91399267]
[ 0.04525329  0.95474671]
[ 0.35560089  0.64439911]
[ 0.39413204  0.60586796]
[ 0.17212778  0.82787222]
[ 0.10889526  0.89110474]
[ 0.07547693  0.92452307]
[ 0.27491232  0.72508768]
[ 0.51546756  0.48453244]
[ 0.5984606  0.4015394]
[ 0.24019538  0.75980462]
[ 0.16558052  0.83441948]
[ 0.20597893  0.79402107]
[ 0.11799  0.88201]
[ 0.21742277  0.78257723]
[ 0.49761044  0.50238956]
[ 0.01431371  0.98568629]
[ 0.31234743  0.68765257]
[ 0.33848713  0.66151287]
[ 0.06341245  0.93658755]
[ 0.71746841  0.28253159]
[ 0.23286806  0.76713194]
[ 0.11778435  0.88221565]
[ 0.30938088  0.69061912]
[ 0.08665024  0.91334976]
[ 0.54132336  0.45867664]
[ 0.66420926  0.33579074]
[ 0.03691733  0.96308267]
[ 0.06567369  0.93432631]
[ 0.11287745  0.88712255]
[ 0.4255487  0.5744513]
[ 0.31234743  0.68765257]
[ 0.20223521  0.79776479]
[ 0.82616652  0.17383348]
[ 0.14823202  0.85176798]
[ 0.08026151  0.91973849]
[ 0.15977733  0.84022267]
[ 0.33980495  0.66019505]
[ 0.22256739  0.77743261]
[ 0.22855074  0.77144926]
[ 0.23763838  0.76236162]
[ 0.37804129  0.62195871]
[ 0.08895227  0.91104773]
[ 0.21214514  0.78785486]
[ 0.28725064  0.71274936]
[ 0.17605778  0.82394222]
[ 0.19848308  0.80151692]
[ 0.17559341  0.82440659]
[ 0.21624543  0.78375457]
[ 0.53696577  0.46303423]
[ 0.43521723  0.56478277]
[ 0.44385616  0.55614384]
[ 0.71690677  0.28309323]
[ 0.07114685  0.92885315]
[ 0.19773552  0.80226448]
[ 0.52099894  0.47900106]
[ 0.20053362  0.79946638]
[ 0.00915965  0.99084035]
[ 0.10209027  0.89790973]
[ 0.06064196  0.93935804]
[ 0.09886193  0.90113807]
[ 0.01431371  0.98568629]
[ 0.12322463  0.87677537]
[ 0.27102803  0.72897197]
[ 0.12996408  0.87003592]
[ 0.91553278  0.08446722]
[ 0.21214514  0.78785486]
[ 0.248459  0.751541]
[ 0.02444371  0.97555629]
[ 0.43741124  0.56258876]
[ 0.38304042  0.61695958]
[ 0.77906291  0.22093709]
[ 0.40690449  0.59309551]
[ 0.56350409  0.43649591]
[ 0.25767896  0.74232104]
[ 0.06774946  0.93225054]
[ 0.52745005  0.47254995]
[ 0.04757657  0.95242343]
[ 0.43047562  0.56952438]
[ 0.28823231  0.71176769]
[ 0.15988842  0.84011158]
[ 0.02300452  0.97699548]
[ 0.21214514  0.78785486]
[ 0.51901648  0.48098352]
[ 0.31632409  0.68367591]
[ 0.10888624  0.89111376]
[ 0.02451892  0.97548108]
[ 0.35956808  0.64043192]
[ 0.06935064  0.93064936]
[ 0.20914102  0.79085898]
[ 0.05701823  0.94298177]
[ 0.45206748  0.54793252]
[ 0.06651288  0.93348712]
[ 0.46144452  0.53855548]
[ 0.02859513  0.97140487]
[ 0.31234743  0.68765257]
[ 0.001307  0.998693]
[ 0.02754399  0.97245601]
[ 0.30577738  0.69422262]
[ 0.29458973  0.70541027]
[ 0.59739793  0.40260207]
[ 0.09322927  0.90677073]
[ 0.68991612  0.31008388]
[ 0.20020108  0.79979892]
[ 0.07542599  0.92457401]
[ 0.26889161  0.73110839]
[ 0.62789073  0.37210927]
[ 0.14787265  0.85212735]
[ 0.06362522  0.93637478]
[ 0.24692001  0.75307999]
[ 0.78238876  0.21761124]
[ 0.23478152  0.76521848]
[ 0.48036011  0.51963989]
[ 0.09826754  0.90173246]
[ 0.34068365  0.65931635]
[ 0.51405421  0.48594579]
[ 0.40202996  0.59797004]
[ 0.08377479  0.91622521]
[ 0.35956808  0.64043192]
[ 0.23952391  0.76047609]
[ 0.20485136  0.79514864]
